iter	RMSE
0	1.912955865
1	1.899528942
2	1.886878615
3	1.874187898
4	1.860936212
5	1.848550421
6	1.835407206
7	1.823473421
8	1.811376201
9	1.798740162
10	1.787972005
11	1.776596575
12	1.764291727
13	1.752019334
14	1.740621893
15	1.729729825
16	1.718699495
17	1.708138757
18	1.697212057
19	1.686482455
20	1.67582696
21	1.666578864
22	1.655899542
23	1.645678098
24	1.635487234
25	1.624521324
26	1.61385328
27	1.603008763
28	1.592430644
29	1.582264318
30	1.573079052
31	1.56317712
32	1.553751841
33	1.543718602
34	1.534047471
35	1.524539212
36	1.514880972
37	1.505827877
38	1.496491588
39	1.489528634
40	1.480930081
41	1.472497447
42	1.463912546
43	1.455018637
44	1.446865493
45	1.438913776
46	1.431008075
47	1.422864336
48	1.414343099
49	1.405937963
50	1.398439374
51	1.391856691
52	1.384133418
53	1.376347226
54	1.368464395
55	1.360595032
56	1.352946557
57	1.34589885
58	1.338262748
59	1.330687956
60	1.323548887
61	1.316778464
62	1.309399778
63	1.30210522
64	1.295229123
65	1.288515662
66	1.282158116
67	1.275381826
68	1.268905456
69	1.262322771
70	1.255913049
71	1.249273217
72	1.24279371
73	1.236949729
74	1.23064121
75	1.224658069
76	1.218427269
77	1.213814027
78	1.207909136
79	1.202474769
80	1.196634763
81	1.190969071
82	1.185554501
83	1.180366524
84	1.175877274
85	1.170407737
86	1.165307109
87	1.16008327
88	1.154707883
89	1.149336955
90	1.144356952
91	1.139070905
92	1.134328503
93	1.129136348
94	1.124471417
95	1.119645949
96	1.114922502
97	1.109974296
98	1.105379164
99	1.100803618
100	1.096428293
101	1.091756698
102	1.087199064
103	1.082978699
104	1.078692325
105	1.074259002
106	1.069842656
107	1.065448601
108	1.062061975
109	1.058099202
110	1.053973075
111	1.0501229
112	1.046124847
113	1.043122917
114	1.039239266
115	1.035391566
116	1.031924055
117	1.02838835
118	1.024892106
119	1.021015523
120	1.017363778
121	1.014106219
122	1.01091259
123	1.007536912
124	1.004347043
125	1.001805086
126	0.9985431868
127	0.9952587097
128	0.9921458662
129	0.9886488976
130	0.9852210662
131	0.9819524015
132	0.9790758865
133	0.9761488828
134	0.9733099705
135	0.9701539811
136	0.9672194545
137	0.9645296606
138	0.9616422587
139	0.9588474036
140	0.9562387527
141	0.9533487209
142	0.950756563
143	0.9484330606
144	0.9460628031
145	0.9431423735
146	0.9404476846
147	0.9379717291
148	0.9359609351
149	0.9335021295
150	0.931191101
151	0.9289281016
152	0.9268201157
153	0.9248039918
154	0.9223123043
155	0.9200052995
156	0.9177425795
157	0.9155699017
158	0.913301734
159	0.9111556616
160	0.9088326399
161	0.90687382
162	0.90471992
163	0.9026244083
164	0.9008213058
165	0.8987013942
166	0.8963588741
167	0.8946381013
168	0.8927603384
169	0.8908472541
170	0.8889540735
171	0.8869002545
172	0.8850651076
173	0.8834661622
174	0.8816293306
175	0.8798460017
176	0.8780397156
177	0.8762523904
178	0.8744843902
179	0.8727168081
180	0.8709106532
181	0.8692328897
182	0.8675383949
183	0.8658354869
184	0.8641457546
185	0.8625787289
186	0.861064139
187	0.8595942567
188	0.8580702394
189	0.8565361017
190	0.8549961403
191	0.8534740297
192	0.8519576132
193	0.8502749684
194	0.8488578157
195	0.8474956203
196	0.8460226939
197	0.8450286701
198	0.8437002545
199	0.8423849032
200	0.8411111943
201	0.8400636289
202	0.8387330718
203	0.8375451014
204	0.8361167734
205	0.8349078231
206	0.833608256
207	0.8323577368
208	0.8312232539
209	0.8301279467
210	0.8290486936
211	0.827911951
212	0.8268467088
213	0.8258100789
214	0.8246658908
215	0.8234767779
216	0.8225169827
217	0.8216289518
218	0.8205010809
219	0.8194233323
220	0.8183709354
221	0.8173892415
222	0.8163283133
223	0.8154217163
224	0.8145224341
225	0.8134448517
226	0.8123346192
227	0.8113071094
228	0.8104025511
229	0.8093903515
230	0.8083445792
231	0.8074633971
232	0.806500829
233	0.8055999309
234	0.8047560238
235	0.8040189526
236	0.8031202782
237	0.8023231896
238	0.8015271723
239	0.8007209326
240	0.7999888563
241	0.799034492
242	0.798111064
243	0.7973131289
244	0.7963736582
245	0.7956048917
246	0.7948258783
247	0.793938577
248	0.793137183
249	0.7923360493
250	0.7917336171
251	0.791070286
252	0.7904040058
253	0.7895575671
254	0.7887663103
255	0.7880418383
256	0.7872802414
257	0.786591124
258	0.7858043219
259	0.785108808
260	0.7844470982
261	0.7837987715
262	0.7831107151
263	0.782435356
264	0.7817011633
265	0.7811530017
266	0.7805246558
267	0.779807715
268	0.7791618548
269	0.7785893777
270	0.7779634199
271	0.7774034338
272	0.7768399538
273	0.7762905168
274	0.7757396168
275	0.7751501698
276	0.7745204345
277	0.7739931102
278	0.7733959486
279	0.7729784659
280	0.7724179799
281	0.7717929208
282	0.7712771795
283	0.770939619
284	0.7704464005
285	0.7699337484
286	0.7694573373
287	0.7689458295
288	0.768442303
289	0.7679894449
290	0.7674998922
291	0.7670220271
292	0.7664697579
293	0.7659658338
294	0.765389463
295	0.7649170094
296	0.7643816863
297	0.7638621016
298	0.7633907619
299	0.7629561049
300	0.7624368844
301	0.7620194506
302	0.7615439887
303	0.761173533
304	0.7607875273
305	0.760251046
306	0.7598539378
307	0.7594310386
308	0.7589411551
309	0.7585598674
310	0.7581591454
311	0.7577287565
312	0.7572754027
313	0.7568884609
314	0.75646522
315	0.756102917
316	0.75576206
317	0.7554273606
318	0.754989722
319	0.7545608493
320	0.7542087821
321	0.7537824922
322	0.7533373783
323	0.7529943371
324	0.7525305677
325	0.7522061983
326	0.7517991935
327	0.751414119
328	0.7510772613
329	0.7508094681
330	0.7504570872
331	0.7500628216
332	0.749720741
333	0.7494162778
334	0.7490607356
335	0.7486951872
336	0.7483692644
337	0.7480588224
338	0.7477226581
339	0.7474265851
340	0.7471023454
341	0.7467208738
342	0.7464440915
343	0.7460946927
344	0.7457802651
345	0.7455161238
346	0.7452038571
347	0.7449165328
348	0.7446677201
349	0.7443386604
350	0.7440312988
351	0.7436929435
352	0.743431869
353	0.7431968982
354	0.7428703442
355	0.7426262907
356	0.7423570289
357	0.7420673488
358	0.7417727211
359	0.7414856489
360	0.7412632929
361	0.7410461003
362	0.7408050136
363	0.7405521199
364	0.7402547769
365	0.7400712034
366	0.7397562319
367	0.7394646489
368	0.73924589
369	0.7389484053
370	0.7386343167
371	0.738427414
372	0.7381488096
373	0.7379595385
374	0.7377377882
375	0.7375208948
376	0.7372697776
377	0.7370467082
378	0.7368149849
379	0.7365060045
380	0.7362421783
381	0.736011508
382	0.7358369706
383	0.7356399405
384	0.7353927261
385	0.7351152946
386	0.7348967739
387	0.7346692338
388	0.7344339964
389	0.7341461967
390	0.7339954375
391	0.7336961417
392	0.7334840636
393	0.7332960035
394	0.7330316605
395	0.7328214641
396	0.7326021345
397	0.7324070886
398	0.7322426422
399	0.7320808621
400	0.7318725118
401	0.7316562423
402	0.7314913835
403	0.7313091769
404	0.73120299
405	0.7310342254
406	0.7308521882
407	0.7306644139
408	0.7304307374
409	0.7302550589
410	0.7300550769
411	0.7298977552
412	0.7296353602
413	0.7294252862
414	0.7292328496
415	0.729029592
