iter	Passed	Remaining
0	4	13925
1	15	23446
2	21	21474
3	32	24423
4	38	23276
5	48	24267
6	54	23143
7	68	25484
8	82	27430
9	94	28244
10	100	27422
11	114	28510
12	127	29214
13	135	28955
14	149	29832
15	165	30838
16	176	31037
17	185	30736
18	197	31040
19	205	30688
20	217	30840
21	227	30776
22	235	30520
23	245	30482
24	253	30193
25	263	30163
26	275	30328
27	283	30069
28	295	30251
29	302	29964
30	312	29881
31	321	29775
32	327	29463
33	336	29368
34	344	29206
35	353	29097
36	359	28828
37	366	28597
38	375	28480
39	381	28251
40	389	28112
41	394	27774
42	401	27583
43	410	27544
44	414	27208
45	422	27146
46	429	26985
47	437	26882
48	443	26688
49	452	26698
50	458	26523
51	464	26311
52	471	26231
53	478	26123
54	483	25890
55	490	25788
56	497	25690
57	502	25513
58	510	25453
59	517	25357
60	523	25244
61	532	25214
62	539	25154
63	547	25110
64	554	25025
65	560	24896
66	572	25041
67	581	25091
68	591	25145
69	602	25231
70	612	25249
71	622	25306
72	628	25218
73	637	25205
74	645	25177
75	655	25227
76	670	25437
77	678	25413
78	694	25685
79	707	25818
80	719	25945
81	733	26086
82	744	26175
83	755	26225
84	769	26375
85	781	26472
86	790	26455
87	802	26567
88	815	26662
89	830	26850
90	841	26884
91	853	26972
92	866	27072
93	898	27767
94	914	27976
95	926	28020
96	936	28029
97	946	28040
98	954	27966
99	963	27954
100	968	27800
101	972	27632
102	978	27525
103	982	27371
104	988	27246
105	995	27186
106	1002	27112
107	1014	27173
108	1020	27075
109	1029	27048
110	1037	27004
111	1046	26986
112	1058	27034
113	1066	26990
114	1082	27144
115	1092	27158
116	1099	27082
117	1106	27029
118	1120	27121
119	1134	27233
120	1146	27271
121	1156	27284
122	1166	27293
123	1182	27418
124	1193	27440
125	1201	27400
126	1214	27477
127	1225	27503
128	1231	27415
129	1239	27355
130	1249	27355
131	1257	27317
132	1264	27258
133	1271	27184
134	1277	27117
135	1284	27053
136	1305	27283
137	1312	27212
138	1319	27149
139	1324	27057
140	1329	26954
141	1335	26888
142	1342	26813
143	1347	26720
144	1352	26635
145	1358	26560
146	1365	26495
147	1372	26455
148	1378	26367
149	1384	26298
150	1388	26201
151	1393	26113
152	1401	26087
153	1407	26015
154	1418	26033
155	1429	26060
156	1437	26022
157	1444	25987
158	1455	26004
159	1463	25970
160	1472	25958
161	1476	25872
162	1485	25859
163	1491	25799
164	1499	25769
165	1510	25782
166	1517	25738
167	1524	25704
168	1534	25709
169	1541	25657
170	1548	25622
171	1557	25608
172	1564	25571
173	1570	25499
174	1575	25436
175	1583	25411
176	1592	25403
177	1602	25406
178	1621	25557
179	1653	25900
180	1660	25868
181	1668	25836
182	1677	25823
183	1685	25802
184	1693	25762
185	1700	25726
186	1709	25712
187	1720	25739
188	1731	25746
189	1738	25706
190	1745	25670
191	1754	25657
192	1762	25638
193	1771	25622
194	1778	25589
195	1788	25583
196	1795	25550
197	1806	25559
198	1815	25551
199	1826	25575
200	1838	25600
201	1848	25609
202	1858	25612
203	1869	25622
204	1877	25602
205	1885	25576
206	1896	25586
207	1907	25608
208	1919	25629
209	1931	25665
210	1938	25624
211	1945	25586
212	1953	25558
213	1959	25509
214	1966	25466
215	1973	25437
216	1980	25394
217	1987	25358
218	1994	25327
219	2002	25305
220	2010	25284
221	2016	25231
222	2024	25212
223	2031	25173
224	2041	25183
225	2049	25157
226	2057	25135
227	2065	25106
228	2072	25075
229	2080	25059
230	2087	25018
231	2095	25002
232	2104	24994
233	2112	24974
234	2120	24947
235	2128	24924
236	2137	24919
237	2146	24910
238	2153	24882
239	2160	24849
240	2166	24803
241	2172	24763
242	2181	24746
243	2190	24740
244	2199	24729
245	2208	24725
246	2216	24708
247	2225	24690
248	2235	24698
249	2241	24656
250	2248	24625
251	2255	24596
252	2262	24562
253	2268	24529
254	2274	24479
255	2278	24424
256	2285	24393
257	2290	24343
258	2297	24319
259	2308	24323
260	2315	24297
261	2320	24246
262	2329	24238
263	2336	24216
264	2343	24184
265	2352	24178
266	2358	24140
267	2365	24118
268	2370	24070
269	2377	24039
270	2384	24014
271	2390	23972
272	2397	23947
273	2405	23928
274	2414	23930
275	2422	23912
276	2431	23898
277	2439	23890
278	2444	23845
279	2452	23824
280	2459	23797
281	2467	23781
282	2472	23733
283	2475	23670
284	2480	23630
285	2489	23625
286	2499	23631
287	2507	23616
288	2515	23599
289	2523	23580
290	2532	23571
291	2539	23552
292	2546	23522
293	2552	23489
294	2559	23465
295	2565	23437
296	2572	23412
297	2579	23389
298	2585	23356
299	2593	23337
300	2601	23327
301	2613	23344
302	2622	23346
303	2631	23339
304	2638	23315
305	2645	23289
306	2650	23252
307	2655	23212
308	2662	23186
309	2669	23167
310	2677	23148
311	2687	23150
312	2694	23127
313	2699	23092
314	2709	23096
315	2717	23077
316	2721	23035
317	2729	23023
318	2739	23020
319	2748	23015
320	2754	22992
321	2760	22962
322	2771	22974
323	2779	22957
324	2787	22939
325	2795	22928
326	2800	22893
327	2809	22888
328	2824	22927
329	2828	22888
330	2837	22881
331	2848	22891
332	2866	22956
333	2874	22944
334	2881	22921
335	2887	22895
336	2896	22886
337	2906	22889
338	2923	22950
339	2929	22921
340	2935	22890
341	2942	22872
342	2947	22835
343	2954	22811
344	2959	22777
345	2966	22751
346	2971	22721
347	2977	22688
348	2982	22657
349	2989	22634
350	2995	22605
351	3003	22593
352	3013	22595
353	3020	22573
354	3026	22546
355	3036	22549
356	3043	22533
357	3053	22531
358	3059	22509
359	3070	22515
360	3077	22497
361	3089	22512
362	3101	22528
363	3110	22522
364	3118	22509
365	3123	22481
366	3133	22481
367	3141	22469
368	3147	22439
369	3154	22420
370	3160	22395
371	3168	22384
372	3176	22372
373	3181	22339
374	3187	22314
375	3192	22281
376	3199	22261
377	3208	22257
378	3215	22238
379	3220	22206
380	3226	22176
381	3234	22165
382	3241	22146
383	3249	22134
384	3259	22141
385	3270	22150
386	3277	22129
387	3286	22127
388	3291	22092
389	3299	22079
390	3306	22060
391	3311	22032
392	3318	22012
393	3326	22003
394	3331	21973
395	3342	21979
396	3353	21984
397	3359	21961
398	3372	21984
399	3380	21975
400	3387	21954
401	3391	21919
402	3396	21886
403	3402	21864
404	3406	21825
405	3412	21803
406	3419	21782
407	3425	21763
408	3433	21748
409	3437	21714
410	3443	21692
411	3452	21686
412	3456	21652
413	3461	21624
414	3469	21612
415	3476	21591
416	3481	21567
417	3487	21544
418	3495	21530
419	3501	21507
420	3506	21483
421	3516	21482
422	3526	21485
423	3533	21468
424	3544	21473
425	3552	21462
426	3560	21454
427	3568	21445
428	3574	21424
429	3581	21406
430	3588	21390
431	3594	21367
432	3601	21353
433	3612	21359
434	3624	21369
435	3633	21365
436	3642	21361
437	3652	21364
438	3659	21348
439	3667	21337
440	3677	21337
441	3683	21317
442	3690	21303
443	3696	21281
444	3702	21255
445	3708	21236
446	3712	21205
447	3720	21192
448	3730	21193
449	3742	21208
450	3753	21215
451	3762	21210
452	3769	21195
453	3777	21181
454	3784	21166
455	3791	21153
456	3804	21168
457	3809	21145
458	3819	21142
459	3828	21140
460	3837	21137
461	3848	21142
462	3860	21152
463	3871	21158
464	3876	21132
465	3881	21107
466	3888	21089
467	3896	21081
468	3902	21059
469	3910	21051
470	3919	21043
471	3926	21029
472	3932	21011
473	3941	21003
474	3947	20981
475	3951	20955
476	3958	20936
477	3965	20920
478	3973	20912
479	3978	20886
480	3986	20875
481	3993	20862
482	4002	20857
483	4008	20835
484	4014	20815
485	4020	20797
486	4025	20773
487	4031	20752
488	4038	20736
489	4043	20711
490	4054	20717
491	4060	20699
492	4069	20694
493	4074	20669
494	4083	20662
495	4090	20651
496	4095	20626
497	4103	20615
498	4111	20607
499	4120	20602
500	4129	20598
501	4138	20594
502	4148	20595
503	4159	20597
504	4165	20579
505	4174	20577
506	4181	20562
507	4190	20558
508	4197	20543
509	4207	20542
510	4218	20548
511	4224	20530
512	4231	20513
513	4238	20497
514	4246	20491
515	4256	20490
516	4263	20478
517	4270	20460
518	4278	20453
519	4286	20445
520	4293	20430
521	4301	20420
522	4309	20411
523	4318	20403
524	4328	20405
525	4335	20393
526	4342	20376
527	4349	20365
528	4358	20357
529	4366	20351
530	4373	20337
531	4381	20328
532	4388	20314
533	4395	20300
534	4404	20294
535	4411	20279
536	4418	20267
537	4426	20256
538	4432	20237
539	4439	20223
540	4448	20219
541	4456	20208
542	4463	20195
543	4472	20192
544	4478	20173
545	4485	20161
546	4494	20156
547	4504	20153
548	4511	20139
549	4517	20125
550	4527	20121
551	4536	20118
552	4542	20102
553	4552	20100
554	4563	20105
555	4571	20093
556	4579	20086
557	4587	20075
558	4593	20058
559	4599	20040
560	4607	20029
561	4615	20020
562	4623	20014
563	4629	19997
564	4639	19993
565	4645	19975
566	4652	19965
567	4659	19952
568	4665	19933
569	4671	19914
570	4676	19893
571	4684	19883
572	4691	19870
573	4699	19863
574	4705	19846
575	4713	19835
576	4719	19818
577	4726	19805
578	4733	19792
579	4741	19781
580	4749	19773
581	4755	19759
582	4762	19743
583	4769	19732
584	4778	19727
585	4786	19716
586	4792	19698
587	4801	19697
588	4810	19690
589	4818	19680
590	4826	19673
591	4835	19668
592	4843	19658
593	4853	19659
594	4860	19647
595	4869	19642
596	4878	19636
597	4884	19619
598	4891	19607
599	4899	19598
600	4906	19585
601	4913	19573
602	4918	19553
603	4924	19536
604	4931	19522
605	4937	19507
606	4945	19495
607	4955	19495
608	4963	19487
609	4969	19469
610	4985	19494
611	4995	19493
612	5000	19471
613	5009	19467
614	5017	19459
615	5022	19438
616	5028	19420
617	5037	19417
618	5042	19397
619	5051	19389
620	5058	19379
621	5065	19365
622	5075	19365
623	5082	19353
624	5091	19346
625	5101	19347
626	5107	19330
627	5111	19307
628	5117	19291
629	5124	19279
630	5129	19258
631	5135	19243
632	5147	19249
633	5160	19256
634	5170	19257
635	5181	19258
636	5191	19258
637	5203	19264
638	5212	19260
639	5222	19258
640	5232	19257
641	5239	19242
642	5245	19228
643	5253	19219
644	5257	19196
645	5261	19173
646	5269	19164
647	5276	19152
648	5281	19133
649	5287	19118
650	5294	19102
651	5303	19099
652	5309	19082
653	5316	19070
654	5322	19055
655	5331	19052
656	5338	19039
657	5348	19038
658	5356	19027
659	5365	19021
660	5375	19022
661	5384	19017
662	5391	19002
663	5395	18983
664	5403	18972
665	5411	18964
666	5418	18950
667	5423	18935
668	5429	18917
669	5436	18905
670	5442	18891
671	5449	18878
672	5455	18863
673	5461	18847
674	5469	18840
675	5479	18837
676	5487	18829
677	5493	18815
678	5501	18804
679	5507	18789
680	5514	18777
681	5520	18762
682	5526	18749
683	5534	18739
684	5541	18728
685	5551	18726
686	5557	18711
687	5564	18698
688	5570	18683
689	5579	18679
690	5587	18671
691	5598	18672
692	5604	18659
693	5612	18647
694	5621	18643
695	5630	18638
696	5638	18630
697	5643	18611
698	5649	18598
699	5656	18586
700	5666	18584
701	5678	18587
702	5691	18596
703	5699	18586
704	5707	18579
705	5715	18570
706	5722	18559
707	5729	18549
708	5738	18544
709	5745	18532
710	5751	18514
711	5757	18500
712	5766	18496
713	5772	18482
714	5779	18470
715	5788	18463
716	5794	18450
717	5800	18434
718	5806	18420
719	5813	18408
720	5823	18407
721	5829	18393
722	5835	18377
723	5842	18366
724	5847	18350
725	5855	18340
726	5860	18324
727	5869	18317
728	5874	18299
729	5882	18293
730	5887	18275
731	5893	18260
732	5903	18258
733	5913	18256
734	5919	18241
735	5929	18240
736	5936	18229
737	5943	18215
738	5950	18205
739	5965	18218
740	5971	18206
741	5979	18195
742	5986	18184
743	5995	18178
744	6005	18178
745	6011	18163
746	6017	18149
747	6022	18131
748	6028	18117
749	6038	18114
750	6046	18106
751	6053	18095
752	6061	18088
753	6069	18080
754	6081	18082
755	6086	18066
756	6093	18054
757	6100	18043
758	6109	18039
759	6118	18033
760	6127	18028
761	6132	18011
762	6139	18000
763	6145	17987
764	6151	17972
765	6164	17978
766	6170	17965
767	6181	17966
768	6189	17956
769	6198	17952
770	6202	17931
771	6208	17917
772	6216	17910
773	6221	17892
774	6228	17881
775	6235	17871
776	6246	17871
777	6256	17868
778	6267	17868
779	6276	17863
780	6286	17861
781	6290	17841
782	6294	17821
783	6299	17804
784	6304	17789
785	6309	17773
786	6317	17764
787	6324	17753
788	6332	17744
789	6339	17734
790	6348	17730
791	6357	17723
792	6363	17710
793	6372	17703
794	6379	17694
795	6385	17680
796	6392	17669
797	6400	17661
798	6407	17651
799	6415	17642
800	6421	17628
801	6427	17614
802	6434	17604
803	6440	17592
804	6452	17593
805	6458	17580
806	6462	17562
807	6469	17552
808	6478	17546
809	6489	17545
810	6497	17537
811	6506	17530
812	6512	17519
813	6518	17505
814	6527	17499
815	6534	17489
816	6541	17479
817	6547	17465
818	6553	17452
819	6560	17440
820	6567	17429
821	6575	17423
822	6580	17406
823	6585	17391
824	6593	17382
825	6599	17370
826	6609	17366
827	6618	17360
828	6635	17376
829	6646	17375
830	6651	17360
831	6659	17354
832	6666	17342
833	6674	17334
834	6683	17328
835	6689	17315
836	6695	17302
837	6702	17292
838	6710	17283
839	6716	17271
840	6722	17257
841	6732	17254
